deviceId,data,time,locationStatus,latitude,longitude,mobileStatus,netType,RSRP,RSRQ,SNR,RSSI,downlink,uplink,roaming,downstreamBandwidth,upstreamBandwidth,earfcn,band,frequency,ci,pci,tag,networkOperator,chipOperator,mcc,mnc,bluetoothStatus
3d4c6129617d84c4,11/03/2023,17.30.13,1,-312.932,-58.432.376,1,4G,-93,-13,-1.0,-57,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.30.40,1,-312.932,-58.432.376,1,4G,-88,-14,-4.0,-53,80,230,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.04,1,-312.932,-58.432.376,1,4G,-93,-14,-1.0,-59,31,1244,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.22,1,-312.932,-58.432.376,1,4G,-90,-16,-4.0,-53,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.25,1,-3.129.227,-58.432.312,1,4G,-90,-16,-4.0,-53,1,1,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.27,1,-3.129.227,-58.432.312,1,4G,-91,-13,5.0,-57,69,295,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.27,1,-3.129.118,-5.843.229,1,4G,-91,-13,5.0,-57,69,295,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.29,1,-3.128.995,-58.432.287,1,4G,-91,-13,5.0,-57,6,1,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.31,1,-3.128.861,-58.432.278,1,4G,-90,-13,6.0,-55,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.33,1,-3.128.717,-58.432.272,1,4G,-95,-13,6.0,-61,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.35,1,-3.128.567,-58.432.263,1,4G,-95,-14,6.0,-61,12,8,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.37,1,-3.128.426,-58.432.257,1,4G,-95,-14,6.0,-61,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.39,1,-312.827,-58.432.258,1,4G,-95,-14,6.0,-61,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.41,1,-3.128.132,-58.432.248,1,4G,-95,-14,6.0,-61,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.45,1,-3.128.039,-58.432.255,1,4G,-104,-16,6.0,-63,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.45,1,-3.127.918,-5.843.219,1,4G,-104,-16,6.0,-63,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.46,1,-3.127.729,-58.432.179,1,4G,-104,-16,6.0,-63,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.48,1,-3.127.532,-58.432.177,1,4G,-104,-16,6.0,-63,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.49,1,-3.127.441,-58.432.177,1,4G,-104,-16,6.0,-63,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.51,1,-312.728,-58.432.163,1,4G,-104,-16,6.0,-63,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.53,1,-3.127.129,-58.432.149,1,4G,-104,-16,6.0,-63,0,0,-1,30000,15000,3350,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.54,1,-3.127.129,-58.432.149,1,4G,-89,-18,6.0,-53,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.55,1,-3.126.968,-58.432.133,1,4G,-89,-18,6.0,-53,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.57,1,-3.126.808,-58.432.105,1,4G,-89,-18,6.0,-53,57,587,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.31.59,1,-3.126.653,-58.432.071,1,4G,-89,-18,6.0,-53,13,5,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.01,1,-3.126.514,-58.432.024,1,4G,-89,-18,6.0,-53,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
3d4c6129617d84c4,11/03/2023,17.32.03,1,-3.126.382,-58.431.983,1,4G,-89,-18,6.0,-53,0,0,-1,30000,15000,1800,1,2100,82330379,1,52292,VIVO,VIVO,724,11,4
